127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/easyTooltip.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/sh_main.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/lang/sh_sql.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/highstocks/js/highstock.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/superfish.js, HTTP/1.1, 200, 0.001000
0, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.tablesorter.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/highcharts/js/highcharts-more.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/images/eve2.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/jqueryui/js/jquery-ui-1.8.17.custom.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/evemetrics.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.tablednd_0_5.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/jquery.tagbox.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/easyTooltip.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/sh_main.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/highcharts/js/highcharts-more.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/skeleton.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/superfish.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/tablesorter.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/js/superfish.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/css/sh/sh_ide-msvcpp.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:15, GET, /evemetrics/static/images/eve2.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:11:17, GET, /evemetrics/static/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:18, GET, /evemetrics/default/Reports, HTTP/1.1, 200, 0.744000
127.0.0.1, 2016-01-04 14:11:18, GET, /evemetrics/static/images/add2.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:18, GET, /evemetrics/static/images/element_into.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:21, GET, /evemetrics/default/Report, HTTP/1.1, 200, 1.022000
127.0.0.1, 2016-01-04 14:11:21, GET, /evemetrics/static/images/watched_n.gif, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:21, GET, /evemetrics/static/images/asc2.gif, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:11:21, GET, /evemetrics/static/jqueryui/css/redmond/images/ui-bg_inset-hard_100_fcfdfd_1x100.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:21, GET, /evemetrics/static/jqueryui/css/redmond/images/ui-icons_469bdd_256x240.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:11:21, GET, /evemetrics/static/images/calendar.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/default/Report, HTTP/1.1, 200, 1.621000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.tablesorter.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/jqueryui/js/jquery-ui-1.8.17.custom.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/evemetrics.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/skeleton.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/superfish.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/tablesorter.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/jquery.tagbox.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/jqueryui/css/redmond/jquery-ui-1.8.17.custom.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/css/sh/sh_ide-msvcpp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.tablednd_0_5.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.tagbox.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/easyTooltip.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.cookie.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/sh_main.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/lang/sh_sql.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/highstocks/js/highstock.js, HTTP/1.1, 304, 0.001000
